gene_name	Spring_1	Spring_2	Spring_3	Spring_4	tHIO_1	tHIO_2	tHIO_3	Infant_1	Adult_1	Adult_2	Adult_3
FIGNL1	163	129	200	172	27	42	73	149	106	96	99
FIGNL2	14	9	16	20	31	16	18	48	20	14	18
FILIP1	147	74	297	428	143	148	89	359	156	130	57
FILIP1L	2786	1364	2479	4328	3253	1150	4615	2526	1540	1546	1050
FIP1L1	714	518	618	496	322	415	541	601	513	407	584
FIS1	1495	2800	1229	1021	1652	1571	1588	1251	2111	1214	2081
FITM1	13	12	16	10	3	8	8	12	36	25	33
FITM2	50	50	47	38	3	17	18	33	41	13	40
FIZ1	402	232	355	305	273	359	440	257	261	171	229
FJX1	213	279	135	223	446	143	293	239	35	31	21
FKBP10	2175	2040	2090	2340	6833	1429	2691	1498	450	365	272
FKBP11	448	784	410	343	628	268	747	302	737	623	925
FKBP14	211	246	211	293	350	138	190	212	43	45	56
FKBP15	731	338	621	457	269	314	425	825	587	531	650
FKBP1A	2266	2747	1966	1695	1200	1307	1633	1948	2133	1283	1911
FKBP1AP1	5	1	2	3	2	5	5	0	5	2	1
FKBP1A-SDCBP2	0	1	0	0	0	0	0	2	2	0	1
FKBP1B	217	495	210	100	58	94	97	110	389	287	479
FKBP2	843	856	692	495	479	596	772	588	1283	774	1156
FKBP3	945	1227	1011	781	419	573	681	726	1043	654	907
FKBP4	1323	982	778	620	414	862	2094	1111	1430	1042	1489
FKBP5	147	83	130	107	56	61	93	426	1343	4051	4440
FKBP6	0	0	0	0	0	0	0	0	0	0	0
FKBP7	286	393	189	278	503	119	256	330	68	73	57
FKBP8	3861	3351	3344	2711	3874	3541	3834	3296	4061	2669	3388
FKBP9	2713	1595	2013	2170	2924	1451	2006	1747	934	835	797
FKBP9L	31	15	20	11	34	8	22	22	7	8	5
FKBPL	0	0	0	0	0	0	0	6	1	3	0
FKRP	396	161	362	330	441	351	442	353	211	201	147
FKSG29	0	0	1	0	0	0	0	0	0	0	0
FKTN	399	217	311	272	128	115	164	242	156	141	190
FLAD1	624	777	504	357	281	465	577	416	496	421	633
FLCN	1123	1073	1076	964	305	641	448	631	1244	805	954
FLG	0	0	0	0	0	0	0	23	5	1	1
FLG2	0	0	0	0	0	0	0	0	0	0	0
FLI1	102	102	41	30	51	15	44	581	409	422	427
FLII	2948	1320	2642	2210	1213	1676	2071	2416	2997	2442	2984
FLJ10038	173	167	165	108	114	94	96	181	157	112	155
FLJ10661	14	16	18	11	7	15	12	17	22	28	18
FLJ11235	14	7	3	2	16	0	4	14	10	11	10
FLJ12334	4	6	11	2	3	4	2	4	8	10	5
FLJ12825	5	14	5	10	13	8	2	9	5	5	0
FLJ13197	31	20	20	25	18	21	26	24	18	9	12
